feature,literature_threshold,literature_direction,literature_precision,literature_recall,datadriven_threshold,datadriven_direction,datadriven_precision,datadriven_recall,auc_roc,auc_pr
plt,400.0,above,0.0226,0.1086,229.0,above,0.0139,0.5592,0.5864,0.0153
rdw,15.0,above,0.0142,0.3388,13.6,above,0.0138,0.7566,0.6029,0.013
rbc,4.0,below,0.0123,0.6612,3.99,below,0.0123,0.6612,0.5719,0.0121
hct,33.0,below,0.0138,0.4868,34.2,below,0.0136,0.5855,0.5684,0.0118
hgb,11.0,below,0.0128,0.4704,11.9,below,0.0127,0.6908,0.5563,0.0115
mcv,80.0,below,0.0094,0.0428,98.0,above,0.0103,0.1184,0.4798,0.0104
wbc,12.0,above,0.0095,0.1974,8.4,below,0.0103,0.4901,0.4876,0.0102
mch,25.0,below,0.0096,0.0395,32.4,above,0.0136,0.1711,0.4623,0.0098
mchc,30.0,below,0.0093,0.0263,32.9,above,0.0119,0.648,0.4653,0.0095
