feature,optimal_threshold,direction,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,n_train,n_test,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high
rdw,13.4,above,0.6169,0.0132,0.0135,0.8433,0.0265,0.0633,0.0135,0.0145,0.0141,117080,29237,0.014,0.000434,0.013149,0.01485
hgb,11.9,below,0.569,0.0123,0.0127,0.7033,0.0249,0.0592,0.0125,0.0122,0.0123,117228,29276,0.012285,0.000587,0.011135,0.013435
hct,35.3,below,0.5786,0.0126,0.013,0.67,0.0255,0.0604,0.0122,0.0134,0.012,117223,29275,0.012447,0.000482,0.011502,0.013392
wbc,9.4,below,0.5214,0.011,0.0111,0.65,0.0217,0.0518,0.0109,0.0116,0.0108,117144,29251,0.012306,0.00089,0.010561,0.014051
plt,260.0,above,0.5723,0.0133,0.0138,0.39,0.0266,0.0603,0.0141,0.0137,0.0113,117071,29223,0.014719,0.000629,0.013487,0.015951
mcv,93.0,above,0.5176,0.0127,0.0107,0.37,0.0208,0.0479,0.0101,0.0104,0.0107,117110,29244,0.011014,0.00016,0.0107,0.011327
mch,32.3,above,0.5373,0.0122,0.0121,0.17,0.0225,0.047,0.0119,0.0115,0.0108,117112,29244,0.011573,0.001365,0.008896,0.014249
mchc,32.9,above,0.5328,0.0113,0.0114,0.6267,0.0224,0.0531,0.0111,0.0113,0.011,117113,29245,0.011041,0.000884,0.009308,0.012774
rbc,3.99,below,0.5861,0.0141,0.0128,0.7033,0.0251,0.0596,0.0123,0.0135,0.0127,117111,29244,0.01248,0.00061,0.011283,0.013676
