K,Best_Formula,AUC_PR,AUC_ROC,N_Formulas_Tested,Baseline_AUC_PR,Delta_vs_Baseline
2,hct / hgb,0.0444,0.595,7,0.0023,0.0421
3,(hgb - mch) / mchc,0.0143,0.735,16,0.0027,0.0116
4,(rbc - 7) * (plt - 100) * (wbc - 4) / (hct + 0.01),0.0103,0.5349,7,0.003,0.0073
5,(mcv - mchc) / (mcv + 0.01) * (plt + rbc) / (wbc + 0.01),0.0074,0.5792,4,0.0029,0.0045
