K,Best_Formula,AUC_PR,AUC_ROC,N_Formulas_Tested,Baseline_AUC_PR,Delta_vs_Baseline
3,(hct - hgb) / (plt + 0.01),0.013,0.5608,15,0.0129,0.0001
4,(hct - mchc) / (mchc + 0.01) * (plt + 0.01) / (rbc + 0.01),0.0128,0.5551,13,0.014,-0.0012
5,(rdw + mchc) / (hct + 0.01) * (plt - rbc),0.0129,0.5614,5,0.0138,-0.0009
6,(hgb + mchc + mcv) / (plt + rdw + wbc),0.0128,0.5467,1,0.0138,-0.001
7,hct + hgb + mchc - mch - mcv - plt - rdw,0.0125,0.5523,1,0.013,-0.0005
