Timestamp,Disease,Split_Salt,Total_Case_Count,Total_Prevalence,Best_Single_Feat,Best_Single_AUC_PR,Best_Single_AUC_ROC,Best_Single_Formula,All_Feat_AUC_PR,All_Feat_AUC_ROC,All_Feat_Formula,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_AUC_ROC_Mean,CV_AUC_ROC_Std
2026-06-21 11:00:49,lup,seed2,571,0.0039,rbc,0.0099,0.5967,logit(p) = 1.4926 - (0.3955 * rbc),0.0041,0.5451,logit(p) = 0.0060 + (0.1557 * hct) - (0.4677 * hgb) + (0.4196 * mch) - (0.0308 * mchc) - (0.1743 * mcv) + (0.0021 * plt) - (0.1897 * rbc) + (0.0856 * rdw) - (0.0387 * wbc) + (0.0435 * neut_pct) + (0.0513 * lym_pct) - (0.0892 * mono_pct) + (0.0390 * eos_pct) - (0.5431 * baso_pct),0.012538,0.009212,-0.005518,0.030593,0.675902,0.029276
2026-06-21 11:01:04,lup,seed3,571,0.0039,mchc,0.0081,0.4947,logit(p) = -0.0000 + (0.0000 * mchc),0.0049,0.5506,logit(p) = 0.0408 + (0.0622 * hct) - (0.3646 * hgb) + (0.3034 * mch) - (0.0228 * mchc) - (0.1212 * mcv) + (0.0022 * plt) + (0.0870 * rbc) + (0.0522 * rdw) - (0.0675 * wbc) + (0.0444 * neut_pct) + (0.0416 * lym_pct) - (0.0705 * mono_pct) + (0.0472 * eos_pct) - (0.4679 * baso_pct),0.012491,0.010537,-0.008161,0.033142,0.666525,0.018056
2026-06-21 11:05:39,crhn,seed3,1167,0.008,plt,0.0164,0.6441,logit(p) = -1.1008 + (0.0044 * plt),0.0187,0.7057,logit(p) = 0.0762 + (0.1142 * hct) - (0.7601 * hgb) + (0.5029 * mch) + (0.0028 * mchc) - (0.1424 * mcv) + (0.0045 * plt) + (1.2932 * rbc) - (0.0369 * rdw) - (0.0497 * wbc) - (0.0231 * neut_pct) - (0.0142 * lym_pct) - (0.0974 * mono_pct) + (0.0231 * eos_pct) - (0.6464 * baso_pct),0.018839,0.005149,0.008747,0.02893,0.695065,0.041119
2026-06-21 11:05:49,ra,seed3,1573,0.0107,neut_pct,0.0159,0.6022,logit(p) = -0.1874 + (0.0026 * neut_pct),0.0114,0.624,logit(p) = -0.0150 + (0.0104 * hct) - (0.0690 * hgb) + (0.1503 * mch) + (0.0066 * mchc) - (0.0462 * mcv) + (0.0022 * plt) - (0.0382 * rbc) + (0.0782 * rdw) - (0.0093 * wbc) - (0.0109 * neut_pct) - (0.0022 * lym_pct) - (0.1147 * mono_pct) + (0.0507 * eos_pct) - (0.3681 * baso_pct),0.01658,0.003757,0.009217,0.023943,0.633688,0.034954
2026-06-21 11:09:00,lup,seed4,571,0.0039,wbc,0.0064,0.5712,logit(p) = 0.2806 - (0.0309 * wbc),0.0074,0.6431,logit(p) = -0.0101 + (0.1608 * hct) - (0.5448 * hgb) + (0.4974 * mch) - (0.1256 * mchc) - (0.1725 * mcv) + (0.0020 * plt) - (0.2102 * rbc) + (0.0667 * rdw) - (0.0363 * wbc) + (0.0599 * neut_pct) + (0.0667 * lym_pct) - (0.0643 * mono_pct) + (0.0773 * eos_pct) - (0.4770 * baso_pct),0.017922,0.022183,-0.025556,0.0614,0.648486,0.037188
2026-06-21 11:09:25,t2d,seed3,18587,0.1273,mcv,0.1545,0.5655,logit(p) = 2.7454 - (0.0306 * mcv),0.1614,0.6487,logit(p) = -0.0114 + (0.0058 * hct) + (0.0257 * hgb) + (0.1750 * mch) + (0.0004 * mchc) - (0.0818 * mcv) + (0.0003 * plt) - (0.0644 * rbc) + (0.0944 * rdw) - (0.0012 * wbc) + (0.0113 * neut_pct) + (0.0095 * lym_pct) - (0.0969 * mono_pct) + (0.0596 * eos_pct) - (0.1318 * baso_pct),0.155567,0.005544,0.1447,0.166434,0.64306,0.012637
2026-06-21 11:10:13,crhn,seed4,1167,0.008,plt,0.015,0.6195,logit(p) = -1.1578 + (0.0046 * plt),0.0193,0.6855,logit(p) = 0.0723 + (0.0525 * hct) - (0.6553 * hgb) + (0.5512 * mch) - (0.0590 * mchc) - (0.1384 * mcv) + (0.0048 * plt) + (1.5732 * rbc) + (0.0004 * rdw) - (0.0603 * wbc) - (0.0256 * neut_pct) - (0.0256 * lym_pct) - (0.1085 * mono_pct) + (0.0312 * eos_pct) - (0.5760 * baso_pct),0.017978,0.005087,0.008008,0.027949,0.687957,0.056952
2026-06-21 11:13:14,t1d,seed3,1581,0.0108,mchc,0.0161,0.5999,logit(p) = -5.2198 + (0.1570 * mchc),0.0171,0.6158,logit(p) = -0.0120 + (0.1007 * hct) - (0.3164 * hgb) + (0.2650 * mch) + (0.0246 * mchc) - (0.1108 * mcv) + (0.0022 * plt) - (0.1254 * rbc) + (0.0222 * rdw) - (0.0231 * wbc) + (0.0179 * neut_pct) + (0.0178 * lym_pct) - (0.0628 * mono_pct) + (0.0288 * eos_pct) - (0.0696 * baso_pct),0.018854,0.006733,0.005658,0.03205,0.632569,0.039897
2026-06-21 11:14:49,psr,seed3,839,0.0057,mono_pct,0.0128,0.6438,logit(p) = 0.5223 - (0.0866 * mono_pct),0.0153,0.6863,logit(p) = -0.1169 + (0.2419 * hct) - (0.3895 * hgb) + (0.8493 * mch) - (0.2883 * mchc) - (0.2831 * mcv) + (0.0004 * plt) - (0.8807 * rbc) + (0.0971 * rdw) - (0.0038 * wbc) + (0.0829 * neut_pct) + (0.0904 * lym_pct) - (0.0223 * mono_pct) + (0.1586 * eos_pct) - (0.1664 * baso_pct),0.012055,0.003308,0.00557,0.01854,0.663378,0.057048
2026-06-21 11:18:50,psr,seed2,839,0.0057,neut_pct,0.012,0.5418,logit(p) = -0.2940 + (0.0041 * neut_pct),0.0102,0.7072,logit(p) = -0.0851 + (0.2831 * hct) - (0.4219 * hgb) + (0.5249 * mch) - (0.0385 * mchc) - (0.1957 * mcv) + (0.0003 * plt) - (1.1686 * rbc) + (0.0855 * rdw) - (0.0023 * wbc) + (0.0211 * neut_pct) + (0.0292 * lym_pct) - (0.1075 * mono_pct) + (0.0853 * eos_pct) - (0.1663 * baso_pct),0.012548,0.003808,0.005084,0.020012,0.657737,0.054496
2026-06-21 11:19:27,t2d,seed4,18587,0.1273,mcv,0.1513,0.5671,logit(p) = 2.7207 - (0.0303 * mcv),0.1594,0.667,logit(p) = -0.0912 + (0.0248 * hct) + (0.0779 * hgb) + (0.0722 * mch) + (0.0640 * mchc) - (0.0615 * mcv) + (0.0003 * plt) - (0.4246 * rbc) + (0.0787 * rdw) - (0.0019 * wbc) + (0.0068 * neut_pct) + (0.0054 * lym_pct) - (0.0969 * mono_pct) + (0.0496 * eos_pct) - (0.1318 * baso_pct),0.156015,0.00772,0.140884,0.171145,0.638903,0.008695
2026-06-21 11:20:43,ra,seed4,1573,0.0107,plt,0.0153,0.5864,logit(p) = -0.4909 + (0.0021 * plt),0.0126,0.6093,logit(p) = -0.0226 + (0.0861 * hct) - (0.2942 * hgb) + (0.2732 * mch) - (0.0372 * mchc) - (0.0833 * mcv) + (0.0021 * plt) - (0.0657 * rbc) + (0.0749 * rdw) - (0.0071 * wbc) + (0.0018 * neut_pct) + (0.0092 * lym_pct) - (0.1045 * mono_pct) + (0.0818 * eos_pct) - (0.3789 * baso_pct),0.015829,0.002974,0.01,0.021659,0.634361,0.031461
2026-06-21 11:21:40,t1d,seed4,1581,0.0108,plt,0.0149,0.5962,logit(p) = -0.6369 + (0.0027 * plt),0.0165,0.6464,logit(p) = -0.1066 + (0.0541 * hct) - (0.3273 * hgb) + (0.2449 * mch) + (0.0172 * mchc) - (0.0784 * mcv) + (0.0019 * plt) + (0.3706 * rbc) - (0.0157 * rdw) - (0.0236 * wbc) + (0.0025 * neut_pct) + (0.0032 * lym_pct) - (0.0791 * mono_pct) + (0.0210 * eos_pct) - (0.1020 * baso_pct),0.019528,0.007986,0.003875,0.035182,0.630312,0.024994
2026-06-21 11:29:30,psr,seed4,839,0.0057,mcv,0.0084,0.4705,logit(p) = -0.9008 + (0.0099 * mcv),0.0124,0.6881,logit(p) = -0.2063 + (0.1376 * hct) - (0.0173 * hgb) + (0.5665 * mch) - (0.1997 * mchc) - (0.1994 * mcv) - (0.0001 * plt) - (1.0666 * rbc) + (0.1015 * rdw) - (0.0096 * wbc) + (0.0666 * neut_pct) + (0.0680 * lym_pct) - (0.0599 * mono_pct) + (0.1676 * eos_pct) - (0.0969 * baso_pct),0.012739,0.003276,0.006318,0.019159,0.670116,0.040092
