formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((log(abs(rbc)+1)) / (abs(log(abs(mchc)+1))+1e-6)) - (sqrt(abs(wbc)))) / (abs(log(abs(hct)+1))+1e-6)) + (sqrt(abs(plt)))) + (mch)) + (rdw)) - (sqrt(abs(hgb))),0.6452,0.0167,0.0161,0.6367,0.0314,0.0731,0.0201,0.0182,0.0132,8
(((((log(abs(mchc)+1)) - ((rbc**2))) * (wbc)) / (abs(sqrt(abs(hct)))+1e-6)) - (log(abs(mcv)+1))) / (abs((rdw**2))+1e-6),0.6008,0.0166,0.0138,0.5767,0.027,0.063,0.0137,0.0142,0.0129,6
(((log(abs(hgb)+1)) / (abs(hct)+1e-6)) * (sqrt(abs(mchc)))) * ((rbc**2)),0.578,0.0166,0.0131,0.65,0.0257,0.0606,0.0128,0.0129,0.012,4
(((((((((rdw**2)) + (log(abs(mcv)+1))) * (plt)) + (rbc)) * (sqrt(abs(mchc)))) * (sqrt(abs(hgb)))) / (abs(log(abs(wbc)+1))+1e-6)) + (log(abs(hct)+1))) * ((mch**2)),0.6319,0.0166,0.0146,0.6567,0.0286,0.0672,0.0207,0.0172,0.013,9
(((((plt) - (sqrt(abs(hgb)))) * (sqrt(abs(mch)))) + (mcv)) / (abs((rbc**2))+1e-6)) * ((mchc**2)),0.6204,0.0166,0.015,0.5833,0.0293,0.0682,0.0188,0.0161,0.0127,6
((((((hct**2)) / (abs(hgb)+1e-6)) * (log(abs(rbc)+1))) / (abs(sqrt(abs(plt)))+1e-6)) / (abs((mch**2))+1e-6)) * (log(abs(wbc)+1)),0.6186,0.0165,0.0149,0.5633,0.0291,0.0674,0.0198,0.0158,0.0125,6
((log(abs(mcv)+1)) / (abs((wbc**2))+1e-6)) + (rbc),0.5847,0.0165,0.0126,0.76,0.0247,0.0589,0.0122,0.0133,0.0126,3
(((((((log(abs(mcv)+1)) * ((rbc**2))) * (sqrt(abs(mch)))) - (plt)) / (abs((rdw**2))+1e-6)) / (abs((hgb**2))+1e-6)) / (abs(sqrt(abs(hct)))+1e-6)) * (mchc),0.6337,0.0165,0.0142,0.7533,0.028,0.0662,0.0176,0.0162,0.0138,8
((((((plt) / (abs(log(abs(wbc)+1))+1e-6)) * ((mchc**2))) / (abs(log(abs(hct)+1))+1e-6)) / (abs(hgb)+1e-6)) * (sqrt(abs(rdw)))) + ((mcv**2)),0.6244,0.0165,0.0154,0.52,0.0299,0.0688,0.0194,0.0166,0.0132,7
(((((sqrt(abs(rdw))) - (sqrt(abs(mchc)))) + ((mch**2))) - ((hct**2))) + (log(abs(plt)+1))) * (sqrt(abs(mcv))),0.59,0.0165,0.0135,0.67,0.0264,0.0623,0.0127,0.0134,0.0123,6
