formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(((((((((((((wbc) + (rbc)) - (mcv)) / (abs(sqrt(abs(lym_pct)))+1e-6)) + (sqrt(abs(rdw)))) - (eos_pct)) - (sqrt(abs(mchc)))) + (sqrt(abs(plt)))) / (abs(log(abs(hgb)+1))+1e-6)) / (abs((neut_pct**2))+1e-6)) - (log(abs(mch)+1))) * (hct)) + ((baso_pct**2))) - ((mono_pct**2)),0.01519685663302798,0.017397,0.006922,0.003829,0.030964,
((((((((((((sqrt(abs(baso_pct))) * ((hgb**2))) / (abs((mcv**2))+1e-6)) - (sqrt(abs(mch)))) + ((neut_pct**2))) - (sqrt(abs(wbc)))) + (log(abs(rbc)+1))) * (log(abs(plt)+1))) / (abs(log(abs(hct)+1))+1e-6)) * (log(abs(lym_pct)+1))) / (abs(log(abs(mchc)+1))+1e-6)) / (abs(log(abs(rdw)+1))+1e-6)) - (mono_pct),0.014504368454478049,0.017228,0.003751,0.009876,0.02458,
(((((((((log(abs(mchc)+1)) / (abs((wbc**2))+1e-6)) / (abs((mcv**2))+1e-6)) - ((hgb**2))) / (abs(eos_pct)+1e-6)) + ((plt**2))) * ((neut_pct**2))) / (abs(rdw)+1e-6)) / (abs((mono_pct**2))+1e-6)) / (abs(rbc)+1e-6),0.01621814784890552,0.0172,0.004978,0.007443,0.026956,
((((((((((((neut_pct**2)) * ((hgb**2))) + ((lym_pct**2))) * (rdw)) * (mono_pct)) * (mcv)) * (baso_pct)) + ((wbc**2))) * (log(abs(rbc)+1))) / (abs((eos_pct**2))+1e-6)) * (sqrt(abs(hct)))) + (sqrt(abs(mch))),0.015556653234280134,0.017178,0.007911,0.001673,0.032684,
((((((((((((sqrt(abs(rdw))) / (abs((hgb**2))+1e-6)) / (abs(eos_pct)+1e-6)) + (sqrt(abs(mchc)))) + (sqrt(abs(mch)))) / (abs(sqrt(abs(lym_pct)))+1e-6)) / (abs((wbc**2))+1e-6)) + ((rbc**2))) + (sqrt(abs(baso_pct)))) / (abs(hct)+1e-6)) + (mono_pct)) / (abs(sqrt(abs(plt)))+1e-6)) - (log(abs(neut_pct)+1)),0.014870599748358544,0.016974,0.00465,0.007861,0.026087,
(((((((((baso_pct**2)) * (sqrt(abs(eos_pct)))) / (abs(mchc)+1e-6)) - (sqrt(abs(neut_pct)))) - (log(abs(rdw)+1))) - (plt)) / (abs(sqrt(abs(hct)))+1e-6)) + ((mono_pct**2))) / (abs(mch)+1e-6),0.015844815284631983,0.016904,0.002662,0.011687,0.022121,
(((((((((((((mono_pct**2)) - (log(abs(mch)+1))) - (neut_pct)) * (lym_pct)) / (abs(wbc)+1e-6)) + (sqrt(abs(mchc)))) + (baso_pct)) - (log(abs(plt)+1))) + (rbc)) * (hgb)) * (sqrt(abs(eos_pct)))) - (mcv)) - (log(abs(rdw)+1)),0.015559556038069841,0.016882,0.002925,0.011148,0.022616,
(log(abs(plt)+1)) - (log(abs(mono_pct)+1)),0.01479626739570082,0.016839,0.004454,0.00811,0.025569,
(((((((((((((mch) / (abs(log(abs(plt)+1))+1e-6)) - (mcv)) + ((mono_pct**2))) * (log(abs(mchc)+1))) + ((hgb**2))) - (hct)) / (abs(baso_pct)+1e-6)) - (neut_pct)) / (abs(wbc)+1e-6)) * (eos_pct)) + (rbc)) - (log(abs(lym_pct)+1))) + (sqrt(abs(rdw))),0.0153935936891707,0.016663,0.003637,0.009534,0.023791,
((((((((((sqrt(abs(eos_pct))) - (wbc)) / (abs((rdw**2))+1e-6)) / (abs(sqrt(abs(baso_pct)))+1e-6)) - ((mono_pct**2))) * ((mcv**2))) * (sqrt(abs(hct)))) * (log(abs(lym_pct)+1))) - ((hgb**2))) - (log(abs(neut_pct)+1))) - (sqrt(abs(mch))),0.014538093299459074,0.016636,0.002389,0.011954,0.021318,
((((((plt) / (abs(sqrt(abs(wbc)))+1e-6)) * (sqrt(abs(eos_pct)))) + (lym_pct)) / (abs((mono_pct**2))+1e-6)) - (sqrt(abs(rbc)))) - (log(abs(hgb)+1)),0.014425981723129623,0.016555,0.004638,0.007464,0.025646,
(((((((((((((baso_pct) + (neut_pct)) * ((rdw**2))) / (abs((mono_pct**2))+1e-6)) / (abs(log(abs(hgb)+1))+1e-6)) - (mcv)) / (abs(log(abs(wbc)+1))+1e-6)) * (mchc)) * (log(abs(lym_pct)+1))) * (log(abs(plt)+1))) * ((eos_pct**2))) + (sqrt(abs(hct)))) / (abs(rbc)+1e-6)) * (sqrt(abs(mch))),0.015124713920572706,0.016536,0.003324,0.010022,0.02305,
