Generation,Current_Best_Formula,Current_Best_AUC_PR,Is_New_Best,Beats_Baseline
0,"sub(mchc, rbc)",0.0144,True,False
1,"sqrt(neg(sub(mono_pct, sqrt(rbc))))",0.0164,True,False
5,"sqrt(neg(sub(mono_pct, sqrt(rbc))))",0.0164,False,False
10,"sqrt(neg(sub(mono_pct, sqrt(rbc))))",0.0164,False,False
13,"mul(log(neg(mchc)), neg(mul(log(mul(log(mul(log(log(add(lym_pct, eos_pct))), mul(log(mul(log(log(add(lym_pct, eos_pct))), mul(div(sub(mono_pct, mul(log(log(add(lym_pct, -0.247))), log(neg(mchc)))), hgb), sqrt(rbc)))), sub(mono_pct, div(mul(mchc, hct), hgb))))), sub(mono_pct, div(mul(mchc, hct), hgb)))), neg(sub(mono_pct, div(mul(mchc, hct), hgb))))))",0.0174,True,True
15,"mul(log(neg(mchc)), neg(mul(log(mul(log(mul(log(log(add(lym_pct, eos_pct))), mul(log(mul(log(log(add(lym_pct, eos_pct))), mul(div(sub(mono_pct, mul(log(log(add(lym_pct, -0.247))), log(neg(mchc)))), hgb), sqrt(rbc)))), sub(mono_pct, div(mul(mchc, hct), hgb))))), sub(mono_pct, div(mul(mchc, hct), hgb)))), neg(sub(mono_pct, div(mul(mchc, hct), hgb))))))",0.0174,False,True
17,"mul(neg(mchc), neg(sub(mono_pct, neg(mul(log(mul(log(log(add(lym_pct, eos_pct))), mul(sub(mch, plt), sub(neg(mchc), div(mul(log(mul(mul(log(log(add(lym_pct, eos_pct))), mul(sub(mono_pct, div(mul(mchc, hct), hgb)), sqrt(rbc))), mul(log(mul(log(log(add(div(neut_pct, mono_pct), eos_pct))), mul(div(neut_pct, mono_pct), sqrt(rbc)))), sub(mono_pct, div(mul(mchc, hct), hgb))))), sub(mono_pct, div(mul(mchc, hct), hgb))), hgb))))), sub(mono_pct, div(mul(mchc, hct), hgb)))))))",0.0178,True,True
18,"mul(neg(mchc), neg(sub(mono_pct, neg(mul(log(mul(log(log(add(lym_pct, eos_pct))), mul(sub(mch, plt), sub(neg(mchc), div(mul(neut_pct, sub(mono_pct, div(mul(mchc, hct), hgb))), hgb))))), sub(mono_pct, div(mul(mchc, hct), hgb)))))))",0.0181,True,True
20,"mul(neg(mchc), neg(sub(mono_pct, neg(mul(log(mul(log(log(add(lym_pct, eos_pct))), mul(sub(mch, plt), sub(neg(mchc), div(mul(neut_pct, sub(mono_pct, div(mul(mchc, hct), hgb))), hgb))))), sub(mono_pct, div(mul(mchc, hct), hgb)))))))",0.0181,False,True
22,"mul(mul(neg(mchc), sub(mul(div(neut_pct, mono_pct), sqrt(rbc)), neg(mul(log(mul(log(sub(mono_pct, div(div(mul(neut_pct, sub(mono_pct, div(mul(mchc, hct), hgb))), hgb), hgb))), mul(log(mul(log(log(add(div(neut_pct, mono_pct), eos_pct))), mul(div(neut_pct, mono_pct), sqrt(rbc)))), sub(mono_pct, div(mul(mchc, hct), hgb))))), sub(mono_pct, mchc))))), neg(sub(mono_pct, neg(mul(log(mul(log(log(add(lym_pct, eos_pct))), mul(sub(mch, plt), sub(eos_pct, div(mul(mchc, hct), hgb))))), sub(mono_pct, div(mul(mchc, hct), hgb)))))))",0.0199,True,True
