formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(((((((((((((log(abs(baso_pct)+1)) * (mch)) / (abs(sqrt(abs(mcv)))+1e-6)) + (log(abs(mchc)+1))) - ((rdw**2))) - (sqrt(abs(hct)))) + (hgb)) / (abs(log(abs(plt)+1))+1e-6)) + (sqrt(abs(wbc)))) + ((mono_pct**2))) * (sqrt(abs(neut_pct)))) / (abs(lym_pct)+1e-6)) + (rbc)) + (sqrt(abs(eos_pct))),0.01298854998285,0.013666,0.011123,-0.008135,0.035468,
((((((((wbc) - (hct)) / (abs(sqrt(abs(lym_pct)))+1e-6)) + (sqrt(abs(mono_pct)))) / (abs(plt)+1e-6)) * ((mch**2))) + (rbc)) / (abs(log(abs(rdw)+1))+1e-6)) * (mchc),0.011050567164037371,0.01359,0.006842,0.000181,0.026999,
(((((((((((((sqrt(abs(neut_pct))) - ((lym_pct**2))) + (mch)) + (rbc)) + (log(abs(plt)+1))) / (abs(log(abs(mcv)+1))+1e-6)) + ((wbc**2))) + (log(abs(baso_pct)+1))) + (sqrt(abs(hgb)))) * (log(abs(hct)+1))) + ((rdw**2))) * (sqrt(abs(mono_pct)))) - (eos_pct)) * (sqrt(abs(mchc))),0.012266386911285305,0.013522,0.010958,-0.007956,0.035,
((((((((((rdw**2)) + (log(abs(mono_pct)+1))) / (abs((rbc**2))+1e-6)) / (abs(sqrt(abs(eos_pct)))+1e-6)) * ((hct**2))) / (abs(log(abs(lym_pct)+1))+1e-6)) + (plt)) - ((mcv**2))) + (sqrt(abs(mch)))) + ((baso_pct**2)),0.011106795301873815,0.013495,0.006121,0.001499,0.025491,
((((((log(abs(mchc)+1)) * ((hct**2))) * (log(abs(neut_pct)+1))) * (sqrt(abs(lym_pct)))) + (mono_pct)) + (sqrt(abs(wbc)))) * ((plt**2)),0.012104454218486448,0.01345,0.010547,-0.007222,0.034121,
(((((((((((((log(abs(baso_pct)+1)) - (log(abs(rbc)+1))) - (sqrt(abs(mchc)))) * (log(abs(mcv)+1))) + ((wbc**2))) * ((lym_pct**2))) * (mono_pct)) / (abs(hgb)+1e-6)) * (log(abs(plt)+1))) + (sqrt(abs(rdw)))) / (abs((neut_pct**2))+1e-6)) * (mch)) + (sqrt(abs(eos_pct)))) * (hct),0.012249462178556552,0.013363,0.0103,-0.006825,0.033551,
(log(abs(hgb)+1)) * (mchc),0.010787938071236035,0.013313,0.005433,0.002664,0.023961,
((((log(abs(rdw)+1)) - (sqrt(abs(hgb)))) + ((mono_pct**2))) - (eos_pct)) - ((mch**2)),0.01102531844152018,0.01319,0.003909,0.005529,0.020852,
(((((((((sqrt(abs(mcv))) / (abs(mchc)+1e-6)) * (hgb)) + (log(abs(plt)+1))) * (eos_pct)) - ((rdw**2))) - (sqrt(abs(rbc)))) - (log(abs(lym_pct)+1))) - ((mono_pct**2))) + ((mch**2)),0.010891547715581545,0.013173,0.004722,0.003918,0.022428,
((((sqrt(abs(hgb))) / (abs(eos_pct)+1e-6)) / (abs(mono_pct)+1e-6)) - ((mch**2))) + ((baso_pct**2)),0.01078304356128449,0.013143,0.004341,0.004636,0.021651,
((neut_pct) + (eos_pct)) - (sqrt(abs(plt))),0.01248018047682418,0.013139,0.011085,-0.008587,0.034865,
(((((((log(abs(eos_pct)+1)) - (sqrt(abs(lym_pct)))) / (abs(sqrt(abs(hct)))+1e-6)) * (log(abs(mcv)+1))) - (hgb)) + ((neut_pct**2))) - ((plt**2))) + (sqrt(abs(rbc))),0.012128227998910921,0.01301,0.01048,-0.007531,0.03355,
((((((((((((((hgb**2)) / (abs((lym_pct**2))+1e-6)) * (eos_pct)) + (log(abs(mono_pct)+1))) * (rbc)) / (abs(log(abs(plt)+1))+1e-6)) * (log(abs(neut_pct)+1))) - (sqrt(abs(baso_pct)))) - (sqrt(abs(rdw)))) / (abs(log(abs(mch)+1))+1e-6)) / (abs(log(abs(mcv)+1))+1e-6)) + (mchc)) - (sqrt(abs(wbc)))) + ((hct**2)),0.012059975913802284,0.013001,0.010419,-0.007421,0.033423,
((plt**2)) - ((neut_pct**2)),0.012127083306195139,0.012992,0.010488,-0.007564,0.033549,
((((((((log(abs(neut_pct)+1)) / (abs(sqrt(abs(eos_pct)))+1e-6)) - (sqrt(abs(wbc)))) / (abs(rbc)+1e-6)) - (log(abs(baso_pct)+1))) - ((mch**2))) + (log(abs(mono_pct)+1))) - (log(abs(hct)+1))) - (log(abs(lym_pct)+1)),0.010787296013370896,0.012983,0.004118,0.004911,0.021054,
(((mono_pct) + (log(abs(mchc)+1))) / (abs(log(abs(hct)+1))+1e-6)) - (mch),0.011094399025800485,0.01298,0.004058,0.005026,0.020934,
((((plt**2)) + (log(abs(lym_pct)+1))) - ((neut_pct**2))) * (log(abs(mch)+1)),0.01208129289293861,0.012934,0.010478,-0.007603,0.03347,
(((sqrt(abs(plt))) - (neut_pct)) + (log(abs(mch)+1))) + (sqrt(abs(rbc))),0.012270940946870491,0.012871,0.011225,-0.00913,0.034873,
(((((((((((plt**2)) / (abs(sqrt(abs(mchc)))+1e-6)) - (mch)) + (sqrt(abs(mono_pct)))) - ((rdw**2))) - (log(abs(hct)+1))) / (abs(log(abs(mcv)+1))+1e-6)) / (abs((baso_pct**2))+1e-6)) - (log(abs(eos_pct)+1))) / (abs(log(abs(lym_pct)+1))+1e-6)) / (abs(log(abs(rbc)+1))+1e-6),0.012147156820024539,0.01278,0.010113,-0.007041,0.032601,
(((((((((((((mono_pct**2)) - (log(abs(mch)+1))) - (neut_pct)) * (lym_pct)) / (abs(wbc)+1e-6)) + (sqrt(abs(mchc)))) + (baso_pct)) - (log(abs(plt)+1))) + (rbc)) * (hgb)) * (sqrt(abs(eos_pct)))) - (mcv)) - (log(abs(rdw)+1)),0.01096142030173149,0.012709,0.002658,0.007499,0.017919,
(((((((log(abs(mono_pct)+1)) + (log(abs(plt)+1))) / (abs(hct)+1e-6)) / (abs(sqrt(abs(neut_pct)))+1e-6)) - (rbc)) / (abs(rdw)+1e-6)) / (abs((eos_pct**2))+1e-6)) + (mchc),0.011017677575716638,0.01269,0.003941,0.004966,0.020414,
(mch) - (sqrt(abs(mono_pct))),0.010809115733970732,0.012679,0.003574,0.005673,0.019684,
(((((((((((((log(abs(mch)+1)) * (log(abs(baso_pct)+1))) / (abs(sqrt(abs(eos_pct)))+1e-6)) - (sqrt(abs(hct)))) - ((mchc**2))) - (sqrt(abs(wbc)))) + (sqrt(abs(neut_pct)))) - (sqrt(abs(rdw)))) + (plt)) - ((rbc**2))) + (sqrt(abs(lym_pct)))) + (log(abs(mcv)+1))) + ((mono_pct**2))) * (log(abs(hgb)+1)),0.010999542333582624,0.012658,0.003208,0.00637,0.018945,
(((((((((((sqrt(abs(wbc))) / (abs((eos_pct**2))+1e-6)) / (abs(hgb)+1e-6)) + (sqrt(abs(neut_pct)))) / (abs(sqrt(abs(plt)))+1e-6)) - ((mchc**2))) + (sqrt(abs(rbc)))) * (sqrt(abs(rdw)))) * ((mcv**2))) * ((mch**2))) / (abs(sqrt(abs(mono_pct)))+1e-6)) * (hct),0.010987766053348984,0.012641,0.005517,0.001827,0.023455,
(((((((log(abs(lym_pct)+1)) + (log(abs(mcv)+1))) / (abs((rdw**2))+1e-6)) + (sqrt(abs(mono_pct)))) * (hgb)) / (abs(neut_pct)+1e-6)) - (mch)) + ((mchc**2)),0.011699440225651054,0.012604,0.005716,0.001401,0.023808,
((((((((((((mch**2)) + (log(abs(rbc)+1))) * ((mcv**2))) / (abs(neut_pct)+1e-6)) + ((plt**2))) * (log(abs(rdw)+1))) + (log(abs(eos_pct)+1))) - ((mchc**2))) * ((hct**2))) / (abs(log(abs(wbc)+1))+1e-6)) / (abs(sqrt(abs(baso_pct)))+1e-6)) * (sqrt(abs(mono_pct))),0.011578560008304786,0.012494,0.011111,-0.009284,0.034273,
((((sqrt(abs(mcv))) * ((mchc**2))) * ((mch**2))) * (log(abs(hgb)+1))) + ((lym_pct**2)),0.010769017902435878,0.012435,0.002781,0.006983,0.017886,
(((((((((mono_pct) / (abs(sqrt(abs(mcv)))+1e-6)) * (log(abs(hgb)+1))) - ((mch**2))) - (eos_pct)) * (log(abs(rdw)+1))) + (sqrt(abs(baso_pct)))) * ((mchc**2))) * (sqrt(abs(rbc)))) - (lym_pct),0.010903946360673397,0.012285,0.001943,0.008477,0.016093,
(((((((((((log(abs(wbc)+1)) - (log(abs(mchc)+1))) * (sqrt(abs(baso_pct)))) - (sqrt(abs(hct)))) - ((plt**2))) / (abs((mch**2))+1e-6)) - (neut_pct)) * ((hgb**2))) + ((mcv**2))) * (rbc)) + (sqrt(abs(lym_pct)))) - (log(abs(rdw)+1)),0.011503907988000358,0.011604,0.011341,-0.010624,0.033833,
((((((((mch) * (mchc)) * (sqrt(abs(mono_pct)))) / (abs(baso_pct)+1e-6)) + (sqrt(abs(hgb)))) - (log(abs(eos_pct)+1))) / (abs(rdw)+1e-6)) - (mcv)) * ((lym_pct**2)),0.012062683842655055,0.011268,0.011896,-0.012048,0.034584,
(((((sqrt(abs(hgb))) + (sqrt(abs(mono_pct)))) / (abs(log(abs(baso_pct)+1))+1e-6)) * ((neut_pct**2))) + (rdw)) + (sqrt(abs(eos_pct))),0.011559727950139393,0.007402,0.002356,0.002785,0.012019,
