formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(log(abs(rbc)+1)) / (abs(sqrt(abs(mch)))+1e-6),0.5353,0.0143,0.0056,0.3704,0.0111,0.0265,0.0061,0.0063,0.0058,2
(sqrt(abs(mch))) / (abs(log(abs(rbc)+1))+1e-6),0.5353,0.0143,0.0056,0.3704,0.0111,0.0265,0.0061,0.0063,0.0058,2
(((((log(abs(plt)+1)) + (mcv)) - ((hgb**2))) - (sqrt(abs(hct)))) + (mch)) * (sqrt(abs(rbc))),0.5159,0.0143,0.0268,0.0185,0.0219,0.0197,0.0053,0.006,0.0056,6
(log(abs(hgb)+1)) / (abs(mch)+1e-6),0.5325,0.0142,0.0059,0.4691,0.0117,0.0282,0.0065,0.006,0.0059,2
((rbc**2)) - (sqrt(abs(mch))),0.5348,0.0142,0.0063,0.5741,0.0124,0.03,0.0061,0.0063,0.0059,2
((((((rbc**2)) * (hgb)) * (log(abs(hct)+1))) / (abs((mchc**2))+1e-6)) + (sqrt(abs(mcv)))) / (abs((mch**2))+1e-6),0.5478,0.0142,0.0059,0.3827,0.0117,0.028,0.0077,0.0059,0.0061,6
(log(abs(plt)+1)) * (mchc),0.5523,0.0141,0.0068,0.4506,0.0134,0.032,0.0082,0.0064,0.0057,2
(((log(abs(hct)+1)) - (mchc)) * (log(abs(mcv)+1))) * (log(abs(plt)+1)),0.5516,0.0141,0.008,0.3642,0.0156,0.0367,0.0083,0.0063,0.0059,4
(mchc) * (log(abs(plt)+1)),0.5523,0.0141,0.0068,0.4506,0.0134,0.032,0.0082,0.0064,0.0057,2
(sqrt(abs(mcv))) - ((rbc**2)),0.5309,0.0141,0.0056,0.4012,0.011,0.0265,0.006,0.0062,0.0059,2
(sqrt(abs(hct))) - ((rbc**2)),0.5323,0.0141,0.0059,0.4259,0.0117,0.028,0.006,0.0062,0.0059,2
(((((((((hgb**2)) - ((rbc**2))) + (wbc)) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6)) - (sqrt(abs(hct)))) * (log(abs(rdw)+1))) * ((mch**2))) * (log(abs(mchc)+1)),0.5346,0.0141,0.0063,0.4444,0.0124,0.0296,0.0071,0.0063,0.0058,9
(((((((log(abs(mchc)+1)) * (log(abs(plt)+1))) / (abs(sqrt(abs(mcv)))+1e-6)) + ((mch**2))) + (wbc)) / (abs((rbc**2))+1e-6)) + (rdw)) - (sqrt(abs(hgb))),0.5407,0.0141,0.0062,0.4877,0.0122,0.0294,0.0062,0.0064,0.0059,8
((((log(abs(hct)+1)) * (log(abs(mcv)+1))) + (mch)) / (abs(sqrt(abs(hgb)))+1e-6)) - (log(abs(mchc)+1)),0.5245,0.0141,0.006,0.4877,0.0119,0.0287,0.0062,0.0058,0.006,5
((mch) * (mcv)) / (abs(rbc)+1e-6),0.5187,0.0141,0.0058,0.6975,0.0114,0.0278,0.0062,0.0058,0.0057,3
((((((log(abs(plt)+1)) * (sqrt(abs(mchc)))) - ((hgb**2))) - ((mch**2))) / (abs(sqrt(abs(rdw)))+1e-6)) * (sqrt(abs(mcv)))) / (abs((rbc**2))+1e-6),0.519,0.0141,0.0055,0.358,0.0107,0.0257,0.006,0.0061,0.0057,7
((((rbc**2)) - (sqrt(abs(mcv)))) * (sqrt(abs(hct)))) - (sqrt(abs(mch))),0.5326,0.0141,0.0058,0.4198,0.0115,0.0276,0.006,0.0064,0.0059,4
((((((hct**2)) - ((mcv**2))) / (abs(rbc)+1e-6)) * (mchc)) + (rdw)) + (sqrt(abs(plt))),0.5215,0.0141,0.0054,0.3827,0.0107,0.0256,0.006,0.0059,0.0059,6
