K,Best_Formula,AUC_PR,AUC_ROC,N_Formulas_Tested,Baseline_AUC_PR,Delta_vs_Baseline
2,plt * (rdw + 0.01),0.013,0.5652,5,0.0149,-0.0019
3,(mchc - mcv) / (mch + 0.01),0.0147,0.5761,26,0.0155,-0.0008
4,(mcv - 100) * (rdw / (100 + 0.01)) * (plt / (wbc + 1)),0.0132,0.5856,15,0.0154,-0.0022
5,(hgb - 12) * (plt - 150) * (rdw - 15) * (rbc - 4.5) * (mchc - 32),0.012,0.5321,3,0.0152,-0.0032
6,hct * (plt / (wbc + 0.01)) * (rdw / 100) * (mchc - mcv) / (mchc + mcv),0.0115,0.5283,1,0.0153,-0.0038
