feature,optimal_threshold,direction,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,n_train,n_test,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high
hct,37.6,below,0.5628,0.0121,0.0128,0.7969,0.0252,0.0601,0.0126,0.0135,0.0128,117201,29292,0.012119,0.000305,0.011521,0.012717
hgb,12.4,below,0.5395,0.0113,0.0123,0.75,0.0242,0.0578,0.012,0.0128,0.0123,117206,29293,0.011398,0.000348,0.010717,0.01208
mch,30.0,below,0.4924,0.0103,0.011,0.5,0.0216,0.0507,0.01,0.0114,0.0111,117088,29260,0.011034,0.000562,0.009932,0.012137
mchc,33.4,above,0.5852,0.0143,0.014,0.5469,0.0273,0.0635,0.0152,0.0142,0.0127,117089,29261,0.014857,0.001149,0.012604,0.017109
mcv,87.0,below,0.5417,0.0121,0.0131,0.3625,0.0253,0.0573,0.0138,0.0122,0.0118,117086,29260,0.012787,0.000711,0.011394,0.01418
plt,237.0,above,0.6079,0.0154,0.0159,0.5625,0.0309,0.0714,0.016,0.0158,0.0132,117049,29239,0.014793,0.000993,0.012847,0.016739
rbc,4.24,below,0.5441,0.0118,0.0121,0.7781,0.0238,0.0569,0.0127,0.0125,0.0122,117087,29260,0.011489,0.00047,0.010568,0.012409
rdw,13.4,above,0.473,0.0099,0.0111,0.65,0.0218,0.0519,0.0084,0.0104,0.0108,117056,29253,0.010213,0.000377,0.009473,0.010952
wbc,9.1,below,0.5149,0.011,0.0114,0.5969,0.0223,0.0529,0.0111,0.0113,0.0114,117122,29267,0.011277,0.000774,0.009759,0.012794
