feature,literature_threshold,literature_direction,literature_precision,literature_recall,datadriven_threshold,datadriven_direction,datadriven_precision,datadriven_recall,auc_roc,auc_pr
plt,400.0,above,0.0151,0.0698,237.0,above,0.0149,0.5302,0.5962,0.0149
mcv,80.0,below,0.0108,0.0478,87.0,below,0.0148,0.4076,0.5715,0.0134
hct,30.0,below,0.0123,0.2413,37.6,below,0.0126,0.7873,0.5542,0.0121
mch,25.0,below,0.0064,0.0255,29.9,below,0.012,0.5223,0.5318,0.0116
hgb,10.0,below,0.0116,0.2476,12.4,below,0.0122,0.7492,0.5359,0.0115
rbc,4.0,below,0.0121,0.6306,4.31,below,0.0113,0.7739,0.5285,0.0112
wbc,12.0,above,0.0106,0.2127,11.3,below,0.0107,0.727,0.4996,0.0107
rdw,15.0,above,0.0102,0.2357,13.3,above,0.0107,0.6592,0.4883,0.0104
mchc,28.0,below,0.0,0.0,33.5,above,0.0136,0.5032,0.4384,0.0094
