,LR,M1,M2,M3,M4
LR,1.0,0.2223,0.3098,-0.0236,0.3123
M1,0.2223,1.0,0.6019,0.0082,0.8832
M2,0.3098,0.6019,1.0,0.0114,0.8166
M3,-0.0236,0.0082,0.0114,1.0,0.0098
M4,0.3123,0.8832,0.8166,0.0098,1.0
