,LR,M1,M2,M3,M4
LR,1.0,0.3523,0.034,0.3452,0.1266
M1,0.3523,1.0,-0.0793,0.4921,0.1759
M2,0.034,-0.0793,1.0,-0.1159,-0.0366
M3,0.3452,0.4921,-0.1159,1.0,0.1068
M4,0.1266,0.1759,-0.0366,0.1068,1.0
