,LR,M1,M2,M3,M4
LR,1.0,0.2172,0.0728,0.0569,0.1439
M1,0.2172,1.0,0.1841,-0.0167,-0.0622
M2,0.0728,0.1841,1.0,-0.0298,-0.1257
M3,0.0569,-0.0167,-0.0298,1.0,0.0402
M4,0.1439,-0.0622,-0.1257,0.0402,1.0
