,LR,M1,M2,M3,M4
LR,1.0,0.4934,0.1618,-0.2951,-0.1389
M1,0.4934,1.0,-0.0724,-0.3122,-0.2124
M2,0.1618,-0.0724,1.0,0.0564,0.1255
M3,-0.2951,-0.3122,0.0564,1.0,0.3678
M4,-0.1389,-0.2124,0.1255,0.3678,1.0
