formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((log(abs(wbc)+1)) + (plt)) * (sqrt(abs(mch)))) + (log(abs(rbc)+1))) / (abs(log(abs(hct)+1))+1e-6)) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs((rdw**2))+1e-6)) * (sqrt(abs(mchc))),0.6204,0.0181,0.0183,0.3969,0.0349,0.0771,0.0195,0.0163,0.0127,8
(((((plt) - (sqrt(abs(rbc)))) / (abs((mcv**2))+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) / (abs((hct**2))+1e-6)) / (abs((rdw**2))+1e-6),0.6342,0.0181,0.0178,0.4906,0.0344,0.0778,0.0231,0.0172,0.0141,6
((log(abs(mcv)+1)) * (sqrt(abs(plt)))) * ((mchc**2)),0.6388,0.018,0.0176,0.4969,0.034,0.0771,0.0197,0.018,0.0143,3
((((sqrt(abs(mch))) / (abs(sqrt(abs(hct)))+1e-6)) * (sqrt(abs(plt)))) * (log(abs(rbc)+1))) / (abs(rdw)+1e-6),0.6192,0.0179,0.0166,0.5031,0.0321,0.0733,0.0193,0.0163,0.0129,5
((((((mchc) + (log(abs(wbc)+1))) * (log(abs(plt)+1))) - (mcv)) - (log(abs(rdw)+1))) + (log(abs(hct)+1))) - (rbc),0.6334,0.0179,0.0174,0.5938,0.0338,0.0779,0.0208,0.0181,0.0139,7
(((((((mchc**2)) + (log(abs(hct)+1))) * (plt)) - (log(abs(mcv)+1))) / (abs(log(abs(rbc)+1))+1e-6)) - (log(abs(mch)+1))) / (abs(sqrt(abs(wbc)))+1e-6),0.6336,0.0179,0.0167,0.5625,0.0325,0.0748,0.0225,0.0167,0.014,7
(((((mchc) * (mch)) * (log(abs(plt)+1))) / (abs(mcv)+1e-6)) + (rdw)) - (log(abs(hct)+1)),0.6398,0.0179,0.0166,0.5531,0.0322,0.074,0.0198,0.0173,0.0146,6
(((((((sqrt(abs(rbc))) - (sqrt(abs(hgb)))) - (log(abs(plt)+1))) / (abs(sqrt(abs(mch)))+1e-6)) * (sqrt(abs(mcv)))) + (log(abs(rdw)+1))) * ((mchc**2))) + ((wbc**2)),0.6188,0.0178,0.0153,0.425,0.0294,0.0667,0.0176,0.016,0.0135,8
((((((((sqrt(abs(wbc))) + (plt)) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs(log(abs(hgb)+1))+1e-6)) + (rbc)) / (abs(rdw)+1e-6)) / (abs(mch)+1e-6)) * ((mchc**2))) / (abs(hct)+1e-6),0.6345,0.0178,0.0183,0.5469,0.0354,0.0807,0.0213,0.0183,0.0137,9
((((((((wbc) - (hgb)) - (mcv)) - ((plt**2))) / (abs(hct)+1e-6)) / (abs((rdw**2))+1e-6)) * ((mchc**2))) - (sqrt(abs(rbc)))) - (sqrt(abs(mch))),0.6314,0.0178,0.0181,0.5156,0.0349,0.0792,0.0206,0.0173,0.0134,9
