formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(((((((((((eos_pct**2)) + (sqrt(abs(wbc)))) * ((hgb**2))) + (mono_pct)) - (sqrt(abs(baso_pct)))) + (log(abs(rdw)+1))) - (rbc)) / (abs((plt**2))+1e-6)) + ((mcv**2))) + (log(abs(neut_pct)+1))) / (abs((mch**2))+1e-6),0.019630485121116488,0.022148,0.013474,-0.004261,0.048556,0.0154
((((((((((((log(abs(baso_pct)+1)) / (abs(sqrt(abs(neut_pct)))+1e-6)) * (log(abs(wbc)+1))) + (log(abs(mcv)+1))) * (sqrt(abs(rdw)))) / (abs(mch)+1e-6)) / (abs(lym_pct)+1e-6)) - (sqrt(abs(hgb)))) / (abs((rbc**2))+1e-6)) * (sqrt(abs(mono_pct)))) + (sqrt(abs(eos_pct)))) - ((mchc**2))) * (log(abs(plt)+1)),0.0158249040685955,0.02063,0.006413,0.008059,0.0332,
((((((neut_pct**2)) * (sqrt(abs(lym_pct)))) + (sqrt(abs(hct)))) / (abs(log(abs(mono_pct)+1))+1e-6)) / (abs(mchc)+1e-6)) * (mcv),0.019025436394598683,0.02047,0.009336,0.002171,0.03877,
(sqrt(abs(mch))) - (sqrt(abs(mcv))),0.016336401735878796,0.019864,0.009339,0.001559,0.038169,
((((((((((mcv**2)) / (abs((mono_pct**2))+1e-6)) + (wbc)) - ((eos_pct**2))) + (hct)) - (baso_pct)) / (abs(mch)+1e-6)) - (log(abs(hgb)+1))) * (log(abs(neut_pct)+1))) + (mchc),0.015998875347595025,0.019308,0.008812,0.002037,0.036579,
(((log(abs(eos_pct)+1)) + (mchc)) + (log(abs(lym_pct)+1))) + (sqrt(abs(neut_pct))),0.014622132447043818,0.018777,0.008957,0.001221,0.036332,
(log(abs(mch)+1)) / (abs(log(abs(mcv)+1))+1e-6),0.015398748093456772,0.01871,0.009903,-0.0007,0.038119,
(((mchc**2)) * (log(abs(plt)+1))) + ((hgb**2)),0.01561706929322863,0.01856,0.002274,0.014104,0.023016,
(((((((((((((baso_pct) * (log(abs(rbc)+1))) - ((mono_pct**2))) / (abs(lym_pct)+1e-6)) + (sqrt(abs(mch)))) * (plt)) * (log(abs(neut_pct)+1))) + (eos_pct)) / (abs(log(abs(rdw)+1))+1e-6)) + (log(abs(wbc)+1))) / (abs(sqrt(abs(mchc)))+1e-6)) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) + (sqrt(abs(hgb))),0.016509005812864123,0.017918,0.002638,0.012748,0.023089,
((((((((baso_pct**2)) * ((wbc**2))) / (abs(neut_pct)+1e-6)) - ((mono_pct**2))) + (mcv)) / (abs(sqrt(abs(hgb)))+1e-6)) * (sqrt(abs(lym_pct)))) * ((plt**2)),0.015687053419890525,0.01722,0.002319,0.012676,0.021765,
((((((((((((sqrt(abs(baso_pct))) * ((hgb**2))) / (abs((mcv**2))+1e-6)) - (sqrt(abs(mch)))) + ((neut_pct**2))) - (sqrt(abs(wbc)))) + (log(abs(rbc)+1))) * (log(abs(plt)+1))) / (abs(log(abs(hct)+1))+1e-6)) * (log(abs(lym_pct)+1))) / (abs(log(abs(mchc)+1))+1e-6)) / (abs(log(abs(rdw)+1))+1e-6)) - (mono_pct),0.014961761683527986,0.016781,0.004734,0.007503,0.026059,
((((mono_pct**2)) - ((mchc**2))) - (sqrt(abs(neut_pct)))) - (log(abs(hct)+1)),0.01469974896464134,0.016744,0.005403,0.006155,0.027333,
