K,Best_Formula,AUC_PR,AUC_ROC,N_Formulas_Tested,Baseline_AUC_PR,Delta_vs_Baseline
1,mchc,0.0156,0.5738,56,0.0156,0.0
2,(mchc) - (neut_pct),0.0179,0.5191,714,0.0149,0.003
3,(((hgb**2)) - ((mchc**2))) + (sqrt(abs(hct))),0.0173,0.5861,714,0.0155,0.0018
4,(((log(abs(eos_pct)+1)) + (mchc)) + (log(abs(lym_pct)+1))) + (sqrt(abs(neut_pct))),0.0181,0.5945,714,0.0154,0.0027
5,((((hgb) - (neut_pct)) + (mchc)) - (log(abs(rdw)+1))) + (sqrt(abs(mono_pct))),0.0239,0.5222,714,0.0152,0.0087
6,(((((rdw) + (wbc)) + ((baso_pct**2))) / (abs(sqrt(abs(mch)))+1e-6)) - (neut_pct)) / (abs(sqrt(abs(mchc)))+1e-6),0.024,0.5208,714,0.0153,0.0087
7,((((((log(abs(wbc)+1)) - (log(abs(mono_pct)+1))) * (sqrt(abs(baso_pct)))) * ((lym_pct**2))) * ((rbc**2))) * (log(abs(neut_pct)+1))) * ((eos_pct**2)),0.0209,0.5818,714,0.0162,0.0047
8,(((((((hgb) / (abs(eos_pct)+1e-6)) - (lym_pct)) + (log(abs(wbc)+1))) - (log(abs(baso_pct)+1))) + (log(abs(hct)+1))) + (log(abs(rbc)+1))) - ((mchc**2)),0.0175,0.5797,714,0.0158,0.0017
9,((((((((sqrt(abs(eos_pct))) / (abs((mch**2))+1e-6)) + ((rdw**2))) - ((mono_pct**2))) + (log(abs(mchc)+1))) * (sqrt(abs(mcv)))) * ((hgb**2))) + (log(abs(lym_pct)+1))) * (sqrt(abs(baso_pct))),0.0163,0.5808,714,0.0157,0.0006
10,((((((((((mcv**2)) - ((neut_pct**2))) + (wbc)) + ((mono_pct**2))) - (log(abs(mch)+1))) / (abs(sqrt(abs(rdw)))+1e-6)) + (eos_pct)) * (log(abs(plt)+1))) / (abs(sqrt(abs(baso_pct)))+1e-6)) * (log(abs(lym_pct)+1)),0.0183,0.5741,714,0.0158,0.0025
11,((((((((((sqrt(abs(wbc))) + (log(abs(rdw)+1))) + (mcv)) - (hgb)) / (abs(sqrt(abs(mono_pct)))+1e-6)) + (sqrt(abs(rbc)))) + ((baso_pct**2))) * ((mchc**2))) * (mch)) + (neut_pct)) - (eos_pct),0.0245,0.5849,714,0.0158,0.0087
12,((((((((((((hgb**2)) - (neut_pct)) / (abs(mcv)+1e-6)) - (log(abs(wbc)+1))) / (abs((baso_pct**2))+1e-6)) - (log(abs(mch)+1))) + (sqrt(abs(rdw)))) / (abs((plt**2))+1e-6)) + (eos_pct)) / (abs((hct**2))+1e-6)) - ((mono_pct**2))) + ((mchc**2)),0.0172,0.6036,714,0.0158,0.0014
13,((((((((((((sqrt(abs(plt))) - (log(abs(lym_pct)+1))) - ((mcv**2))) * (rbc)) / (abs(log(abs(eos_pct)+1))+1e-6)) * (sqrt(abs(rdw)))) - ((neut_pct**2))) / (abs((hct**2))+1e-6)) - ((mono_pct**2))) + (log(abs(wbc)+1))) - (sqrt(abs(hgb)))) / (abs(log(abs(mchc)+1))+1e-6)) / (abs(sqrt(abs(baso_pct)))+1e-6),0.0198,0.5849,714,0.0159,0.0039
14,(((((((((((((baso_pct) + (neut_pct)) * ((rdw**2))) / (abs((mono_pct**2))+1e-6)) / (abs(log(abs(hgb)+1))+1e-6)) - (mcv)) / (abs(log(abs(wbc)+1))+1e-6)) * (mchc)) * (log(abs(lym_pct)+1))) * (log(abs(plt)+1))) * ((eos_pct**2))) + (sqrt(abs(hct)))) / (abs(rbc)+1e-6)) * (sqrt(abs(mch))),0.0177,0.6308,714,0.0166,0.0011
