method,label,formula,auc_pr,auc_roc,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
m1,M1: Threshold,plt > 237.0,0.0154,0.6078,0.008,0.0136,0.4892,0.6023
m2,M2: Random Search,(((((eos_pct) / (abs(log(abs(lym_pct)+1))+1e-6)) * (sqrt(abs(neut_pct)))) + (mcv)) - (log(abs(hgb)+1))) / (abs((mono_pct**2))+1e-6),0.0384,0.5982,0.0099,0.0799,0.5387,0.6546
m3,M3: Genetic Programming,"add(add(plt, mchc), mul(log(add(lym_pct, -0.247)), add(div(add(mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), add(hgb, log(add(eos_pct, neg(mono_pct)))))), mul(mul(add(eos_pct, neg(mono_pct)), add(eos_pct, neg(mono_pct))), div(neut_pct, mono_pct))), neg(log(sub(add(-0.130, neut_pct), sqrt(mono_pct))))), add(add(plt, mchc), add(div(add(mul(mul(add(eos_pct, neg(mono_pct)), add(eos_pct, neg(mono_pct))), div(neut_pct, mono_pct)), mul(mul(add(eos_pct, neg(mono_pct)), add(eos_pct, neg(mono_pct))), div(neut_pct, mono_pct))), neg(log(sub(neg(mono_pct), sqrt(mono_pct))))), mul(sqrt(mono_pct), mul(div(neut_pct, mono_pct), add(hgb, mono_pct))))))))",0.0203,0.6076,0.0113,0.0526,0.5415,0.6778
m4,M4: LLM,(mchc - mcv) / (mch + 0.01),0.0133,0.5953,0.0098,0.0197,0.5305,0.6574
lr_baseline,LR Baseline (all features),,0.0167,,,,,
