feature,literature_threshold,literature_direction,literature_precision,literature_recall,datadriven_threshold,datadriven_direction,datadriven_precision,datadriven_recall,auc_roc,auc_pr
rbc,4.0,below,0.005,0.5775,3.91,below,0.005,0.5282,0.5083,0.0068
plt,400.0,above,0.0076,0.0775,178.0,below,0.0051,0.331,0.5056,0.0056
rdw,15.0,above,0.0057,0.2887,13.4,above,0.0055,0.7183,0.5444,0.0054
mcv,80.0,below,0.0036,0.0352,89.0,above,0.0046,0.5915,0.5295,0.0052
wbc,12.0,above,0.0048,0.2113,12.0,below,0.005,0.7887,0.4648,0.005
hct,33.0,below,0.0051,0.3846,30.2,above,0.0052,0.8252,0.5016,0.0048
hgb,11.0,below,0.005,0.3916,13.4,above,0.0063,0.2378,0.4796,0.0047
mch,27.0,below,0.0035,0.0775,30.8,above,0.0058,0.4437,0.4502,0.0044
mchc,30.0,below,0.0035,0.0211,33.3,above,0.007,0.6549,0.3745,0.004
