disease,method,variant,formula,formula_display,auc_pr,auc_roc
t1d,m1,lit,plt > 400.0,plt > 400.0,0.0161,0.5767
t1d,m1,dd,mchc > 33.4,mchc > 33.4,0.0167,0.5819
t1d,m2,random,(((((((((((eos_pct**2)) + (sqrt(abs(wbc)))) * ((hgb**2))) + (mono_pct)) - (sqrt(abs(baso_pct)))) + (log(abs(rdw)+1))) - (rbc)) / (abs((plt**2))+1e-6)) + ((mcv**2))) + (log(abs(neut_pct)+1))) / (abs((mch**2))+1e-6),(((((((((((eos_pct**2)) + (sqrt(abs(wbc)))) * ((hgb**2))) + (mono_pct)) - (sqrt(abs(baso_pct)))) + (log(abs(rdw)+1))) - (rbc)) / (abs((plt**2))+1e-6)) + ((mcv**2))) + (log(abs(neut_pct)+1))) / (abs((mch**2))+1e-6),0.0236,
t1d,m3,gp,"mul(mul(neg(mchc), sub(mul(div(neut_pct, mono_pct), sqrt(rbc)), neg(mul(log(mul(log(sub(mono_pct, div(div(mul(neut_pct, mul(sqrt(rbc), hgb)), hgb), hgb))), mul(log(mul(log(log(add(div(neut_pct, mono_pct), eos_pct))), mul(div(neut_pct, mono_pct), sqrt(rbc)))), sub(mono_pct, div(mul(neg(log(mul(sub(mono_pct, div(mul(mchc, hct), hgb)), mul(sub(mchc, mch), sub(mchc, div(mul(neut_pct, sub(sub(mchc, mch), mul(log(mul(sub(mono_pct, div(div(mul(neut_pct, eos_pct), hgb), hgb)), mul(sub(mchc, mch), sub(mchc, mul(log(log(hct)), hgb))))), sub(mul(div(neut_pct, mono_pct), sqrt(rbc)), neg(mul(log(sub(mchc, mch)), sub(mono_pct, mchc))))))), hgb)))))), hct), hgb))))), sub(mono_pct, mchc))))), neg(log(mul(div(mul(mchc, hct), hgb), mul(sub(mch, plt), sub(sub(mchc, mch), div(mul(neut_pct, sub(mono_pct, div(mul(mchc, hct), hgb))), hgb)))))))",((-mchc) * (((neut_pct / mono_pct) * sqrt(rbc)) - (-(log((log((mono_pct - (((neut_pct * (sqrt(rbc) * hgb)) / hgb) / hgb))) * (log((log(log(((neut_pct / mono_pct) + eos_pct))) * ((neut_pct / mono_pct) * sqrt(rbc)))) * (mono_pct - (((-log(((mono_pct - ((mchc * hct) / hgb)) * ((mchc - mch) * (mchc - ((neut_pct * ((mchc - mch) - (log(((mono_pct - (((neut_pct * eos_pct) / hgb) / hgb)) * ((mchc - mch) * (mchc - (log(log(hct)) * hgb))))) * (((neut_pct / mono_pct) * sqrt(rbc)) - (-(log((mchc - mch)) * (mono_pct - mchc))))))) / hgb)))))) * hct) / hgb))))) * (mono_pct - mchc))))) * (-log((((mchc * hct) / hgb) * ((mch - plt) * ((mchc - mch) - ((neut_pct * (mono_pct - ((mchc * hct) / hgb))) / hgb)))))),0.0216,0.6446
t1d,m4,llm,(mchc - mcv) / (mch + 0.01),(mchc - mcv) / (mch + 0.01),0.0202,0.5859
