disease,method,variant,formula,formula_display,auc_pr,auc_roc
ra,m1,lit,rbc < 4.0,rbc < 4.0,0.0141,0.5861
ra,m1,dd,rbc < 3.99,rbc < 3.99,0.0141,0.5861
ra,m2,random,((((((((eos_pct) - (log(abs(mcv)+1))) * ((hct**2))) / (abs((rbc**2))+1e-6)) / (abs((baso_pct**2))+1e-6)) * (mchc)) - (hgb)) * ((mch**2))) + ((wbc**2)),((((((((eos_pct) - (log(abs(mcv)+1))) * ((hct**2))) / (abs((rbc**2))+1e-6)) / (abs((baso_pct**2))+1e-6)) * (mchc)) - (hgb)) * ((mch**2))) + ((wbc**2)),0.0384,0.5313
ra,m3,gp,"div(add(sqrt(mul(mul(sub(add(div(mono_pct, hct), log(div(mul(plt, div(plt, log(sub(hct, mchc)))), log(sub(hct, mchc))))), add(log(wbc), mcv)), sqrt(log(sqrt(eos_pct)))), neg(neg(div(div(div(mul(plt, div(mul(sub(add(div(mono_pct, sqrt(add(sub(mono_pct, add(neg(log(sub(hct, mchc))), baso_pct)), log(sub(hct, mchc))))), add(div(mono_pct, sqrt(add(sub(mono_pct, add(neg(add(neg(log(sub(hct, mch))), baso_pct)), baso_pct)), log(sub(hct, mchc))))), log(mcv))), log(mcv)), sqrt(log(sqrt(eos_pct)))), log(sub(hct, mchc)))), sub(mono_pct, add(neg(log(sub(hct, mch))), baso_pct))), mono_pct), log(mcv)))))), mul(mul(sub(add(sqrt(eos_pct), log(mcv)), add(log(wbc), log(sub(hct, mchc)))), sqrt(log(div(mul(plt, div(plt, log(sqrt(eos_pct)))), sub(mono_pct, log(mcv)))))), neg(neg(div(div(mchc, mono_pct), log(mcv)))))), sqrt(add(sub(hct, mchc), log(sub(hct, mchc)))))",(sqrt((((((mono_pct / hct) + log(((plt * (plt / log((hct - mchc)))) / log((hct - mchc))))) - (log(wbc) + mcv)) * sqrt(log(sqrt(eos_pct)))) * (-(-((((plt * (((((mono_pct / sqrt(((mono_pct - ((-log((hct - mchc))) + baso_pct)) + log((hct - mchc))))) + ((mono_pct / sqrt(((mono_pct - ((-((-log((hct - mch))) + baso_pct)) + baso_pct)) + log((hct - mchc))))) + log(mcv))) - log(mcv)) * sqrt(log(sqrt(eos_pct)))) / log((hct - mchc)))) / (mono_pct - ((-log((hct - mch))) + baso_pct))) / mono_pct) / log(mcv)))))) + ((((sqrt(eos_pct) + log(mcv)) - (log(wbc) + log((hct - mchc)))) * sqrt(log(((plt * (plt / log(sqrt(eos_pct)))) / (mono_pct - log(mcv)))))) * (-(-((mchc / mono_pct) / log(mcv)))))) / sqrt(((hct - mchc) + log((hct - mchc)))),0.0351,0.6466
ra,m4,llm,(hgb - 0.01) * (plt - 100000) / (hct - 0.01),(hgb - 0.01) * (plt - 100000) / (hct - 0.01),0.0171,0.5227
