disease,method,variant,formula,formula_display,auc_pr,auc_roc
crhn,m1,lit,mcv < 80.0,mcv < 80.0,0.0162,0.5719
crhn,m1,dd,plt > 268.0,plt > 268.0,0.019,0.6272
crhn,m2,random,(((((((mch) * (sqrt(abs(hgb)))) * (sqrt(abs(plt)))) + (sqrt(abs(wbc)))) / (abs(hct)+1e-6)) - (rbc)) + (mchc)) / (abs((mcv**2))+1e-6),(((((((mch) * (sqrt(abs(hgb)))) * (sqrt(abs(plt)))) + (sqrt(abs(wbc)))) / (abs(hct)+1e-6)) - (rbc)) + (mchc)) / (abs((mcv**2))+1e-6),0.0264,0.6505
crhn,m3,gp,"div(div(sub(add(sub(add(add(sub(rbc, -0.700), neg(mcv)), mul(neg(mcv), neg(mcv))), mul(log(mchc), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), mul(log(mchc), sqrt(-0.248))), sub(sub(neg(plt), wbc), mch)), mul(rdw, rdw))), div(hct, -0.248)), mul(mul(mul(rdw, rdw), rdw), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb))))), mul(mul(neg(mchc), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb)))), neg(mch)))",(((((((rbc - -0.700) + (-mcv)) + ((-mcv) * (-mcv))) - (log(mchc) * (log(mchc) * sqrt(-0.248)))) + ((((mchc - wbc) + (log(mchc) * sqrt(-0.248))) * (((-plt) - wbc) - mch)) + (rdw * rdw))) - (hct / -0.248)) / (((rdw * rdw) * rdw) * ((-mcv) * ((log(mchc) * sqrt(-0.248)) * sqrt(hgb))))) / (((-mchc) * ((-mcv) * ((log(mchc) * sqrt(-0.248)) * sqrt(hgb)))) * (-mch)),0.0307,0.6398
crhn,m4,llm,(hgb - hct) * (mchc - mcv) / (plt + 0.01),(hgb - hct) * (mchc - mcv) / (plt + 0.01),0.0268,0.6417
