method,label,formula,auc_pr,auc_roc,variant,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
m1,M1: Threshold,wbc < 5.7,0.1979,0.5547,dd,0.1688,0.2614,0.4636,0.6527
m2,M2: Random Search,((((((((hgb**2)) + (log(abs(lym_pct)+1))) - (hct)) * (log(abs(wbc)+1))) / (abs(rbc)+1e-6)) * (sqrt(abs(mchc)))) - (log(abs(plt)+1))) + (sqrt(abs(rdw))),0.2507,0.5905,random,0.1916,0.3758,0.4731,0.7043
m3,M3: Genetic Programming,"mul(div(log(sub(log(eos_pct), eos_pct)), sub(sqrt(log(baso_pct)), eos_pct)), log(sub(sub(log(sub(div(sqrt(mul(div(log(log(mch)), sub(sqrt(-0.364), eos_pct)), log(div(-0.364, mch)))), hct), sqrt(add(mul(mono_pct, mcv), mono_pct)))), div(neut_pct, wbc)), sqrt(div(log(baso_pct), mch)))))",0.345,0.585,gp,0.2222,0.4936,0.4615,0.6989
m4,M4: LLM,hct / hgb,0.2626,0.5759,llm,0.1897,0.4169,0.456,0.6927
m5,M5: Seeded GP,"sub(add(add(log(neut_pct), plt), add(sub(add(add(mul(hgb, mch), add(-0.483, mono_pct)), sub(add(add(mul(hgb, mch), sub(hgb, eos_pct)), add(mul(hgb, mch), add(add(log(neut_pct), plt), add(sub(add(add(mul(hgb, mch), add(-0.483, mono_pct)), add(mul(hgb, mch), add(sub(hgb, eos_pct), sub(add(add(mul(hgb, mch), add(-0.483, mono_pct)), sub(add(add(mul(hgb, mch), sub(hgb, eos_pct)), add(mul(hgb, mch), add(add(log(neut_pct), plt), add(sub(add(add(mul(hgb, mch), add(-0.483, mono_pct)), add(mul(hgb, mch), add(sub(hgb, eos_pct), div(div(div(plt, sub(hgb, eos_pct)), sub(hgb, eos_pct)), rdw)))), div(mcv, eos_pct)), add(-0.483, mono_pct))))), div(mcv, eos_pct))), div(mcv, eos_pct))))), div(mcv, eos_pct)), add(-0.483, mono_pct))))), div(mcv, eos_pct))), div(mcv, eos_pct)), add(-0.483, mono_pct))), div(sub(add(add(mul(hgb, mch), add(-0.483, mono_pct)), add(mul(hgb, mch), add(sub(hgb, eos_pct), div(log(neut_pct), rdw)))), div(mcv, eos_pct)), div(mcv, eos_pct)))",0.267,0.5865,seeded_gp,0.1826,0.3813,0.4783,0.6866
