formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((mono_pct) - (log(abs(wbc)+1))) - (sqrt(abs(rbc)))) * (sqrt(abs(mchc)))) - (log(abs(hgb)+1))) * ((rdw**2)),0.6208,0.0235,0.0045,0.7778,0.0089,0.0219,0.0047,0.0059,0.0047,6
((((((((((rdw**2)) / (abs(sqrt(abs(plt)))+1e-6)) * (log(abs(mchc)+1))) * (wbc)) - ((baso_pct**2))) + ((hgb**2))) / (abs((mono_pct**2))+1e-6)) - ((hct**2))) - (eos_pct)) + (log(abs(mch)+1)),0.5955,0.0229,0.0045,0.7037,0.009,0.022,0.0041,0.0053,0.0043,10
((((((((((((mono_pct) / (abs(log(abs(eos_pct)+1))+1e-6)) * (sqrt(abs(neut_pct)))) * (log(abs(lym_pct)+1))) / (abs(sqrt(abs(rdw)))+1e-6)) - (sqrt(abs(mcv)))) / (abs((wbc**2))+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6)) + (sqrt(abs(hct)))) / (abs(baso_pct)+1e-6)) / (abs(mchc)+1e-6)) + ((rbc**2))) * (plt),0.5739,0.0229,0.0053,0.2963,0.0104,0.0248,0.0054,0.0044,0.0039,13
((((log(abs(wbc)+1)) / (abs(sqrt(abs(hgb)))+1e-6)) * (sqrt(abs(rbc)))) / (abs(log(abs(mono_pct)+1))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6),0.5056,0.0227,0.005,0.1852,0.0098,0.0226,0.0047,0.0033,0.0034,5
((((((((((log(abs(mch)+1)) + (wbc)) * ((neut_pct**2))) + ((baso_pct**2))) - ((rdw**2))) - (mono_pct)) - (log(abs(hgb)+1))) + (log(abs(eos_pct)+1))) * (log(abs(hct)+1))) - (log(abs(lym_pct)+1))) + ((mchc**2)),0.5267,0.0227,0.0048,0.2963,0.0095,0.0227,0.0052,0.0032,0.0034,11
(((((((((log(abs(hct)+1)) + ((rdw**2))) - ((neut_pct**2))) * (log(abs(eos_pct)+1))) / (abs(sqrt(abs(plt)))+1e-6)) * ((mch**2))) / (abs(log(abs(baso_pct)+1))+1e-6)) - (sqrt(abs(hgb)))) / (abs(sqrt(abs(mono_pct)))+1e-6)) - ((wbc**2)),0.5461,0.0226,0.0034,1.0,0.0068,0.0168,0.0034,0.004,0.0035,10
(((rdw**2)) / (abs((baso_pct**2))+1e-6)) / (abs(log(abs(neut_pct)+1))+1e-6),0.5229,0.0225,0.004,0.4815,0.0079,0.0192,0.0047,0.0042,0.0033,3
(((((((((log(abs(hct)+1)) * (sqrt(abs(mono_pct)))) / (abs((hgb**2))+1e-6)) + (sqrt(abs(lym_pct)))) / (abs(log(abs(baso_pct)+1))+1e-6)) * ((rbc**2))) - ((rdw**2))) + (log(abs(eos_pct)+1))) / (abs(sqrt(abs(mch)))+1e-6)) / (abs(log(abs(neut_pct)+1))+1e-6),0.542,0.0224,0.0036,0.6296,0.0071,0.0175,0.005,0.0033,0.0042,10
(((((lym_pct) + (neut_pct)) + (rbc)) - (hct)) * ((mch**2))) * (sqrt(abs(mchc))),0.5166,0.0223,0.0034,1.0,0.0068,0.0167,0.0034,0.0036,0.0033,6
((rdw) - ((neut_pct**2))) / (abs(log(abs(plt)+1))+1e-6),0.5194,0.0221,0.0042,0.1852,0.0082,0.0192,0.0031,0.0035,0.0038,3
(((((((sqrt(abs(mcv))) - ((mchc**2))) / (abs(mch)+1e-6)) - ((neut_pct**2))) * ((hct**2))) - ((lym_pct**2))) - (log(abs(eos_pct)+1))) / (abs((hgb**2))+1e-6),0.5047,0.022,0.0029,0.0741,0.0056,0.0126,0.0027,0.0035,0.0037,8
(((((sqrt(abs(lym_pct))) * ((mch**2))) - (sqrt(abs(wbc)))) * (sqrt(abs(rbc)))) - ((neut_pct**2))) * (mono_pct),0.5301,0.0219,0.0035,0.5556,0.007,0.0172,0.0021,0.0036,0.0043,6
(((((((((((((mch) - (plt)) + ((mcv**2))) * (baso_pct)) - (hct)) + ((neut_pct**2))) * (sqrt(abs(rdw)))) / (abs(eos_pct)+1e-6)) + (sqrt(abs(mchc)))) + (log(abs(mono_pct)+1))) + (rbc)) + ((hgb**2))) / (abs(log(abs(wbc)+1))+1e-6)) / (abs((lym_pct**2))+1e-6),0.508,0.0219,0.0035,0.8889,0.0069,0.017,0.0036,0.0032,0.0036,14
(((((((((((rbc) / (abs((wbc**2))+1e-6)) - (sqrt(abs(baso_pct)))) / (abs(mcv)+1e-6)) + (neut_pct)) + (log(abs(mch)+1))) + (eos_pct)) + (log(abs(hct)+1))) + (sqrt(abs(plt)))) + ((mono_pct**2))) / (abs(sqrt(abs(rdw)))+1e-6)) - (sqrt(abs(mchc))),0.619,0.0182,0.0043,0.7037,0.0085,0.0208,0.006,0.0064,0.0044,12
