formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((((((((wbc) / (abs((mchc**2))+1e-6)) * (log(abs(hgb)+1))) / (abs(sqrt(abs(baso_pct)))+1e-6)) + (log(abs(hct)+1))) + ((lym_pct**2))) / (abs((mch**2))+1e-6)) - ((rbc**2))) / (abs((plt**2))+1e-6)) + (mono_pct)) + (sqrt(abs(eos_pct)))) / (abs(sqrt(abs(neut_pct)))+1e-6)) * ((rdw**2)),0.00697532208032204,0.009385,0.008892,-0.008042,0.026813,
(((wbc) + (hct)) * (log(abs(mono_pct)+1))) / (abs(neut_pct)+1e-6),0.0065123553539714095,0.009301,0.006533,-0.003504,0.022107,
(((((((((((((mchc**2)) + (sqrt(abs(hct)))) * (baso_pct)) + ((lym_pct**2))) * (sqrt(abs(mch)))) - ((rdw**2))) - (log(abs(neut_pct)+1))) / (abs(eos_pct)+1e-6)) / (abs(mcv)+1e-6)) + ((wbc**2))) + (hgb)) * ((mono_pct**2))) / (abs(sqrt(abs(rbc)))+1e-6),0.006812620868085147,0.009191,0.006595,-0.003735,0.022117,
(((((((((mono_pct**2)) / (abs(log(abs(mchc)+1))+1e-6)) * (log(abs(baso_pct)+1))) / (abs(lym_pct)+1e-6)) * (sqrt(abs(wbc)))) + (log(abs(hgb)+1))) + (sqrt(abs(mcv)))) + ((eos_pct**2))) / (abs(sqrt(abs(neut_pct)))+1e-6),0.0066065003320750475,0.009014,0.004275,0.000634,0.017394,
(((((((((((((baso_pct) * (log(abs(rbc)+1))) - ((mono_pct**2))) / (abs(lym_pct)+1e-6)) + (sqrt(abs(mch)))) * (plt)) * (log(abs(neut_pct)+1))) + (eos_pct)) / (abs(log(abs(rdw)+1))+1e-6)) + (log(abs(wbc)+1))) / (abs(sqrt(abs(mchc)))+1e-6)) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) + (sqrt(abs(hgb))),0.006779037848293487,0.008982,0.003788,0.001557,0.016407,
((((((lym_pct) * (eos_pct)) - (neut_pct)) / (abs((mono_pct**2))+1e-6)) / (abs(log(abs(mcv)+1))+1e-6)) / (abs((wbc**2))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6),0.006638815492376492,0.008975,0.006546,-0.003854,0.021805,
((((((((((lym_pct**2)) * ((mch**2))) - (log(abs(rbc)+1))) - (log(abs(hgb)+1))) + (sqrt(abs(mcv)))) - (sqrt(abs(rdw)))) + (baso_pct)) * ((plt**2))) * (sqrt(abs(eos_pct)))) + (sqrt(abs(wbc))),0.006478105182359939,0.008841,0.007508,-0.005874,0.023557,
(((((((((((((neut_pct**2)) * (sqrt(abs(hgb)))) / (abs(log(abs(mch)+1))+1e-6)) + (log(abs(rbc)+1))) * (sqrt(abs(hct)))) + (log(abs(eos_pct)+1))) - (sqrt(abs(mchc)))) - (mcv)) / (abs((mono_pct**2))+1e-6)) / (abs(plt)+1e-6)) - ((baso_pct**2))) / (abs(log(abs(rdw)+1))+1e-6)) - (sqrt(abs(wbc))),0.007575115242073319,0.008786,0.006295,-0.003551,0.021124,
((((((((neut_pct**2)) * (mchc)) * (log(abs(lym_pct)+1))) * (rdw)) + (mch)) + ((baso_pct**2))) + ((rbc**2))) / (abs(sqrt(abs(plt)))+1e-6),0.006358348419122994,0.008701,0.004508,-0.000135,0.017537,
((((((neut_pct**2)) * (sqrt(abs(lym_pct)))) + (sqrt(abs(hct)))) / (abs(log(abs(mono_pct)+1))+1e-6)) / (abs(mchc)+1e-6)) * (mcv),0.00631541288233125,0.008669,0.004478,-0.000107,0.017446,
((((((((sqrt(abs(eos_pct))) / (abs(rbc)+1e-6)) + (mono_pct)) * (wbc)) * (log(abs(lym_pct)+1))) - (sqrt(abs(rdw)))) * (neut_pct)) * (mchc)) - (baso_pct),0.006447805684542205,0.008428,0.006273,-0.003867,0.020723,
((((((((((wbc) + ((neut_pct**2))) + (sqrt(abs(lym_pct)))) * (hct)) / (abs(log(abs(mono_pct)+1))+1e-6)) / (abs(mcv)+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6)) / (abs(plt)+1e-6)) * (log(abs(mch)+1))) - ((rbc**2))) - ((eos_pct**2)),0.006490403148695248,0.008338,0.004938,-0.00134,0.018016,
((((((((((((neut_pct**2)) * (sqrt(abs(mono_pct)))) / (abs((mchc**2))+1e-6)) / (abs(sqrt(abs(lym_pct)))+1e-6)) * ((eos_pct**2))) + ((hgb**2))) - ((rbc**2))) * ((rdw**2))) - (baso_pct)) - ((mcv**2))) - ((plt**2))) / (abs((wbc**2))+1e-6),0.006337290503594716,0.008124,0.003216,0.00182,0.014428,
((((mcv) * (sqrt(abs(hgb)))) + ((mono_pct**2))) - (sqrt(abs(neut_pct)))) - (log(abs(mch)+1)),0.006329289314656533,0.007941,0.001718,0.004574,0.011309,
