feature,optimal_threshold,direction,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,n_train,n_test,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high
hct,37.8,below,0.654,0.0063,0.0047,0.8727,0.0094,0.0231,0.0071,0.006,0.0049,117219,29281,0.005149,0.000587,0.003999,0.006299
hgb,11.5,below,0.648,0.0067,0.0051,0.6727,0.0101,0.0248,0.0067,0.006,0.0049,117224,29282,0.00506,0.000531,0.004019,0.006101
mch,28.1,below,0.5097,0.0046,0.0052,0.2844,0.0103,0.0244,0.0051,0.0037,0.0035,117108,29249,0.004943,0.00057,0.003827,0.00606
mchc,34.9,below,0.4953,0.0036,0.0037,0.8991,0.0074,0.0183,0.0034,0.0039,0.0037,117109,29250,0.003688,0.000137,0.00342,0.003957
mcv,88.0,below,0.5208,0.0052,0.0042,0.4128,0.0083,0.0201,0.0047,0.004,0.0036,117106,29249,0.005057,0.000569,0.003942,0.006171
plt,271.0,above,0.4828,0.0041,0.0036,0.2477,0.0072,0.0172,0.0044,0.0038,0.0033,117067,29228,0.00412,0.000313,0.003507,0.004733
rbc,4.17,below,0.6318,0.0079,0.0049,0.8807,0.0098,0.0241,0.0064,0.0052,0.0048,117107,29249,0.004796,0.00056,0.003698,0.005893
rdw,14.3,above,0.6291,0.0057,0.0053,0.5596,0.0104,0.0254,0.0056,0.0053,0.0048,117076,29242,0.005108,0.000512,0.004103,0.006112
wbc,5.7,below,0.5842,0.0077,0.0078,0.3945,0.0152,0.0359,0.008,0.0049,0.0039,117140,29256,0.006164,0.000849,0.004499,0.007828
