method,label,formula,auc_pr,auc_roc,variant,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
m1,M1: Threshold,rdw > 13.6,0.089,0.567,dd,0.0839,0.0943,0.544,0.5878
m2,M2: Random Search,((rbc**2)) / (abs(hct)+1e-6),0.1246,0.653,random,0.1148,0.1417,0.6292,0.6802
m3,M3: Genetic Programming,"div(neg(mul(mch, div(neg(mul(mch, div(neg(mul(mul(add(wbc, mch), rdw), sqrt(rbc))), div(add(wbc, rbc), add(sqrt(rbc), plt))))), div(sqrt(rbc), mul(mch, rdw))))), div(sqrt(rbc), mul(mch, rdw)))",0.1257,0.642,gp,0.114,0.1421,0.6193,0.667
m4,M4: LLM,(hgb / mchc) * (plt / (wbc + 1)) * (rdw / (mcv + 1)),0.1074,0.5878,llm,0.0963,0.1267,0.5661,0.6127
