method,label,formula,auc_pr,auc_roc,variant,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
m1,M1: Threshold,rdw > 15.0,0.0334,0.6,lit,0.0264,0.0432,0.5619,0.6397
m2,M2: Random Search,((((((((hgb**2)) + (sqrt(abs(rbc)))) - (hct)) - (log(abs(rdw)+1))) * (mchc)) - (sqrt(abs(mch)))) + (log(abs(plt)+1))) * ((wbc**2)),0.0323,0.5484,random,0.0227,0.058,0.4969,0.5965
m3,M3: Genetic Programming,"log(add(log(neg(neg(log(log(neg(mul(log(wbc), sqrt(hgb)))))))), sub(log(sub(mchc, mcv)), div(div(div(mchc, mchc), add(hgb, mcv)), sqrt(div(mcv, rbc))))))",0.0472,0.6899,gp,0.0385,0.0626,0.6452,0.7345
m4,M4: LLM,(mch + mchc) / (mcv + 0.01),0.0595,0.7165,llm,0.0456,0.0861,0.6703,0.7611
