feature,literature_threshold,literature_direction,literature_precision,literature_recall,datadriven_threshold,datadriven_direction,datadriven_precision,datadriven_recall,auc_roc,auc_pr
mcv,80.0,below,0.0152,0.0909,87.0,below,0.0131,0.4935,0.6074,0.0126
mch,25.0,below,0.0136,0.0736,29.1,below,0.0104,0.4286,0.5517,0.0107
hct,30.0,below,0.0092,0.2468,38.3,below,0.009,0.8139,0.557,0.0092
rdw,15.0,above,0.0094,0.2944,13.4,above,0.0092,0.7403,0.5571,0.009
hgb,10.0,below,0.009,0.2641,12.7,below,0.0088,0.7922,0.5414,0.0089
rbc,4.0,below,0.0089,0.632,4.09,below,0.0089,0.6926,0.5178,0.0081
wbc,12.0,above,0.0081,0.2208,6.9,below,0.0078,0.316,0.4947,0.0079
mchc,28.0,below,0.0,0.0,32.8,above,0.0095,0.7056,0.4298,0.0069
plt,400000.0,below,0.008,1.0,244.0,above,0.0119,0.5325,0.3805,0.0062
