feature,optimal_threshold,direction,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,n_train,n_test,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high
rdw,13.3,above,0.5372,0.0104,0.0107,0.7456,0.0211,0.0507,0.0111,0.0106,0.0107,117083,29248,0.007904,0.000256,0.007402,0.008406
hgb,12.7,below,0.5319,0.011,0.0104,0.7774,0.0206,0.0494,0.0103,0.0109,0.0103,117231,29288,0.008083,0.000491,0.007121,0.009046
hct,37.0,below,0.5508,0.011,0.0109,0.7244,0.0215,0.0515,0.0121,0.011,0.0109,117226,29287,0.008032,0.000509,0.007034,0.00903
wbc,8.7,below,0.4795,0.0097,0.0087,0.477,0.017,0.0404,0.0102,0.009,0.0092,117147,29262,0.008324,0.000438,0.007466,0.009182
plt,268.0,above,0.6272,0.019,0.0149,0.4064,0.0288,0.065,0.0211,0.0145,0.0127,117074,29235,0.015717,0.002037,0.011725,0.019708
mcv,87.0,below,0.5719,0.0162,0.0137,0.4276,0.0265,0.0606,0.0145,0.0122,0.0105,117113,29255,0.011437,0.000787,0.009895,0.012979
mch,29.2,below,0.5255,0.0153,0.0113,0.4064,0.022,0.0509,0.0127,0.0106,0.0095,117115,29255,0.01029,0.001085,0.008165,0.012416
mchc,33.4,above,0.5668,0.012,0.0117,0.5159,0.0229,0.0536,0.0121,0.0117,0.0109,117116,29256,0.008704,0.000333,0.008051,0.009358
rbc,4.46,below,0.5197,0.0102,0.01,0.8375,0.0197,0.0476,0.0099,0.0104,0.0101,117114,29255,0.007001,0.000352,0.00631,0.007691
