formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((((plt**2)) + (log(abs(rdw)+1))) / (abs(wbc)+1e-6)) / (abs(log(abs(mch)+1))+1e-6)) * ((rbc**2))) / (abs((hgb**2))+1e-6)) * (sqrt(abs(hct)))) / (abs(mcv)+1e-6),0.017389655782983397,0.01872,0.00368,0.011507,0.025933,
((((sqrt(abs(mchc))) + (wbc)) + (mch)) / (abs(log(abs(hgb)+1))+1e-6)) - (sqrt(abs(plt))),0.0168321025129021,0.01871,0.004834,0.009235,0.028184,
(((((((((plt**2)) / (abs((mch**2))+1e-6)) * (sqrt(abs(hct)))) - ((rdw**2))) + (log(abs(mcv)+1))) - (log(abs(mchc)+1))) / (abs(wbc)+1e-6)) * (sqrt(abs(rbc)))) / (abs(sqrt(abs(hgb)))+1e-6),0.017502847396831667,0.018553,0.00372,0.011261,0.025845,
((((((((mchc) + (rdw)) + (log(abs(mcv)+1))) + (rbc)) - (sqrt(abs(hgb)))) / (abs((hct**2))+1e-6)) - (mch)) - (wbc)) / (abs(plt)+1e-6),0.017262439865347895,0.018495,0.003711,0.011222,0.025768,
(((((sqrt(abs(mch))) - (sqrt(abs(hgb)))) + (sqrt(abs(rbc)))) + (sqrt(abs(wbc)))) + (log(abs(mcv)+1))) / (abs(sqrt(abs(plt)))+1e-6),0.01699791940354843,0.018371,0.003672,0.011173,0.025569,
(((((((wbc) + ((mchc**2))) - (hgb)) - (log(abs(rbc)+1))) / (abs(sqrt(abs(hct)))+1e-6)) - ((mcv**2))) / (abs(sqrt(abs(plt)))+1e-6)) - (rdw),0.016586057053166743,0.01829,0.004211,0.010037,0.026543,
((((((((log(abs(rbc)+1)) + ((mcv**2))) * (hct)) * (log(abs(mch)+1))) * (log(abs(hgb)+1))) - (rdw)) - (log(abs(mchc)+1))) / (abs(plt)+1e-6)) * (sqrt(abs(wbc))),0.016524711100291627,0.01828,0.003436,0.011546,0.025013,
(((((((wbc**2)) - (plt)) * (log(abs(mch)+1))) + (log(abs(mchc)+1))) * (log(abs(hct)+1))) + ((mcv**2))) / (abs(hgb)+1e-6),0.01694023083573367,0.018258,0.003226,0.011935,0.024581,
((((((((rdw**2)) - (sqrt(abs(mch)))) + ((mcv**2))) * (log(abs(hgb)+1))) + (rbc)) / (abs(sqrt(abs(hct)))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6)) * (log(abs(wbc)+1)),0.017096820314587133,0.018249,0.003314,0.011754,0.024744,
((((plt) - (mcv)) - ((wbc**2))) * (log(abs(hgb)+1))) + (mch),0.016583816731429522,0.018165,0.003556,0.011195,0.025135,
(((((((((rbc**2)) + (sqrt(abs(hgb)))) / (abs(mch)+1e-6)) / (abs((rdw**2))+1e-6)) - (hct)) - ((wbc**2))) * (sqrt(abs(mcv)))) - (sqrt(abs(mchc)))) / (abs((plt**2))+1e-6),0.016717773598422678,0.018093,0.002412,0.013365,0.022821,
(((wbc**2)) + ((mcv**2))) / (abs((plt**2))+1e-6),0.016536359843558578,0.018086,0.004217,0.00982,0.026352,
((((sqrt(abs(wbc))) * (sqrt(abs(hgb)))) * ((mch**2))) - (sqrt(abs(mcv)))) / (abs((plt**2))+1e-6),0.016752768511983707,0.018082,0.003474,0.011274,0.02489,
((((((((sqrt(abs(mch))) + (log(abs(wbc)+1))) + (log(abs(rbc)+1))) - (rdw)) + ((mcv**2))) + (hct)) / (abs(plt)+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6)) / (abs((mchc**2))+1e-6),0.01679438490597521,0.01807,0.003387,0.011431,0.024709,
(((sqrt(abs(hgb))) - ((wbc**2))) + (plt)) - (mcv),0.016671848038632274,0.018065,0.002861,0.012457,0.023672,
