formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((mcv**2)) / (abs(plt)+1e-6)) + (hgb)) * ((mch**2))) * (rdw)) * (log(abs(hct)+1))) * (rbc),0.6023,0.0227,0.0132,0.5477,0.0258,0.0602,0.0185,0.0146,0.0116,7
((((((((log(abs(rbc)+1)) + ((mcv**2))) * (hct)) * (log(abs(mch)+1))) * (log(abs(hgb)+1))) - (rdw)) - (log(abs(mchc)+1))) / (abs(plt)+1e-6)) * (sqrt(abs(wbc))),0.6129,0.0227,0.014,0.5406,0.0272,0.0633,0.0198,0.0149,0.0123,9
(((((hct) + (sqrt(abs(hgb)))) * (sqrt(abs(rdw)))) / (abs(sqrt(abs(plt)))+1e-6)) + (sqrt(abs(mcv)))) - (sqrt(abs(mch))),0.628,0.0227,0.014,0.5795,0.0274,0.064,0.0191,0.0154,0.0124,6
(((((((sqrt(abs(mch))) * (hct)) - (hgb)) / (abs(sqrt(abs(plt)))+1e-6)) + (sqrt(abs(wbc)))) + (sqrt(abs(mcv)))) - (sqrt(abs(mchc)))) - (rbc),0.6207,0.0227,0.0152,0.47,0.0295,0.0674,0.0199,0.0157,0.0125,8
(mchc) * (log(abs(plt)+1)),0.6541,0.0226,0.0163,0.5512,0.0316,0.0727,0.0192,0.0174,0.0136,2
(((mchc) - (mch)) / (abs(log(abs(rdw)+1))+1e-6)) * (plt),0.6214,0.0226,0.0158,0.4735,0.0306,0.0697,0.022,0.0158,0.012,4
(log(abs(plt)+1)) * (mchc),0.6541,0.0226,0.0163,0.5512,0.0316,0.0727,0.0192,0.0174,0.0136,2
(((((((log(abs(mch)+1)) * ((plt**2))) - (log(abs(rdw)+1))) / (abs(hct)+1e-6)) + (rbc)) + (sqrt(abs(mchc)))) / (abs(sqrt(abs(wbc)))+1e-6)) / (abs((mcv**2))+1e-6),0.6325,0.0223,0.0152,0.53,0.0295,0.0681,0.0224,0.0158,0.0129,8
(((mcv) / (abs(plt)+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6)) * ((hct**2)),0.6327,0.0222,0.0154,0.4947,0.0298,0.0684,0.0199,0.0161,0.0131,4
((((((rbc) * (sqrt(abs(hgb)))) / (abs(mchc)+1e-6)) / (abs(mch)+1e-6)) - ((mcv**2))) - ((rdw**2))) / (abs(plt)+1e-6),0.6308,0.022,0.0143,0.4806,0.0277,0.0638,0.0225,0.0148,0.013,7
((((((((log(abs(wbc)+1)) / (abs(log(abs(mcv)+1))+1e-6)) + (log(abs(hgb)+1))) - ((mchc**2))) * (rdw)) * (rbc)) * ((mch**2))) / (abs(plt)+1e-6)) / (abs(log(abs(hct)+1))+1e-6),0.5891,0.022,0.0131,0.424,0.0254,0.0583,0.0194,0.013,0.0114,9
((((((((sqrt(abs(rdw))) * (mch)) + (wbc)) - (sqrt(abs(hct)))) + (log(abs(mchc)+1))) / (abs(sqrt(abs(plt)))+1e-6)) / (abs(log(abs(mcv)+1))+1e-6)) * (log(abs(rbc)+1))) + (log(abs(hgb)+1)),0.604,0.022,0.0151,0.5053,0.0294,0.0675,0.0184,0.0151,0.0117,9
((((((hgb**2)) + ((mcv**2))) + (log(abs(hct)+1))) / (abs(plt)+1e-6)) * (mchc)) * (rdw),0.6186,0.0219,0.0137,0.4346,0.0266,0.0608,0.0233,0.0143,0.0125,6
